date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:54:37	611679/611679	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2004:45:37%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F2560x1706%2F9b4322d850%2Fnew_mammut_small-scaled.jpeg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/new_mammut_small-scaledb1ce.jpg	(from https://www.buildinamsterdam.com/)
04:54:37	115003/115003	---MCZ	200	added ('OK')	text/html	etag:W/%22eba125efeb8eb54c6cb04982d70dc0e5%22	https://www.buildinamsterdam.com/case/moooi	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/moooi.html	(from https://www.buildinamsterdam.com/)
04:54:38	67145/67145	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2004:45:37%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F3000x1690%2F951e7df91a%2Fmoooi-button.jpg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/moooi-button1399.jpg	(from https://www.buildinamsterdam.com/)
04:54:39	109358/109358	---MCZ	200	added ('OK')	text/html	etag:W/%2230b8d459dbf4c96b760a009f57728d68%22	https://www.buildinamsterdam.com/case/secrid	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/secrid.html	(from https://www.buildinamsterdam.com/)
04:54:40	537366/537366	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2011:20:56%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F5368x3099%2Fe04447b981%2Ftest.jpg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/test23fb.jpg	(from https://www.buildinamsterdam.com/)
04:54:41	80321/80321	---MCZ	200	added ('OK')	text/html	etag:W/%22b71a2b3978518d2295c096ad585a279b%22	https://www.buildinamsterdam.com/case/abel-vita-odor	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/abel-vita-odor.html	(from https://www.buildinamsterdam.com/)
04:54:41	222781/222781	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2005:00:35%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F2500x1667%2F30a3327e30%2Fabel-nori.jpeg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/abel-nori62e5.jpg	(from https://www.buildinamsterdam.com/)
04:54:42	121359/121359	---MCZ	200	added ('OK')	text/html	etag:W/%221037601748c098cf5b30f9461af37058%22	https://www.buildinamsterdam.com/case/mollie	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/mollie.html	(from https://www.buildinamsterdam.com/)
04:54:42	48499/48499	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2021:57:15%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F3000x1700%2F2e404d8595%2Fmollie-case-header.jpg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/mollie-case-headerbaf0.jpg	(from https://www.buildinamsterdam.com/)
04:54:43	117149/117149	---MCZ	200	added ('OK')	text/html	etag:W/%225eb9a1bf3ab8c6c997c402c496623fa0%22	https://www.buildinamsterdam.com/case/stellar-development	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/stellar-development.html	(from https://www.buildinamsterdam.com/)
04:54:44	378241/378241	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2021:57:14%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F2592x1646%2F358c61287b%2F4.jpg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/49889.jpg	(from https://www.buildinamsterdam.com/)
04:54:44	98812/98812	---MCZ	200	added ('OK')	text/html	etag:W/%22a7854df56a0a294dd0805eb4092b52ae%22	https://www.buildinamsterdam.com/case/vitra	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/vitra.html	(from https://www.buildinamsterdam.com/)
04:54:44	63111/63111	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Nov%202022%2007:24:10%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F1400x1151%2Ffca9c37926%2Fvitra.jpeg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/vitra3c0f.jpg	(from https://www.buildinamsterdam.com/)
04:54:45	127268/127268	---MCZ	200	added ('OK')	text/html	etag:W/%2282b88ded7bde95fa2fa9e90f2d5fafa9%22	https://www.buildinamsterdam.com/case/suitsupply	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/suitsupply.html	(from https://www.buildinamsterdam.com/)
04:54:46	895369/895369	---M--	200	added ('OK')	image/jpeg	date:Thu,%2008%20Dec%202022%2019:57:04%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F6000x3400%2F8dac8ba5a2%2Fsuitsupply_hero-image_campaign-ss22.jpg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/suitsupply_hero-image_campaign-ss222ffd.jpg	(from https://www.buildinamsterdam.com/)
04:54:46	89071/89071	---MCZ	200	added ('OK')	text/html	etag:W/%22ab99c6425168c992c7d19a701324f1aa%22	https://www.buildinamsterdam.com/case/moooi-webar	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/moooi-webar.html	(from https://www.buildinamsterdam.com/)
04:54:46	1929009/1929009	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2004:45:38%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F3584x4096%2Fd228116de4%2Fmoooi-andres.jpeg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/moooi-andres0a65.jpg	(from https://www.buildinamsterdam.com/)
04:54:47	105451/105451	---MCZ	200	added ('OK')	text/html	etag:W/%229cf362433e89b064e7eb199acba14e3d%22	https://www.buildinamsterdam.com/case/foam-talent-2020	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/foam-talent-2020.html	(from https://www.buildinamsterdam.com/)
04:54:47	428518/428518	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2011:20:55%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F2000x1335%2F1ac955edbd%2Fmicha-5_70x46-73cm_cmyk_small.jpg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/micha-5_70x46-73cm_cmyk_smalld08c.jpg	(from https://www.buildinamsterdam.com/)
04:54:47	104516/104516	---MCZ	200	added ('OK')	text/html	etag:W/%22c5e5c04466f48f6d90f3cb4f23c132c7%22	https://www.buildinamsterdam.com/case/foam-platform	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/foam-platform.html	(from https://www.buildinamsterdam.com/)
04:54:48	327683/327683	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2004:45:37%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F2598x1735%2F36188fe446%2Ffoam-mous-lamrabat-loft-art-gallery.webp&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/foam-mous-lamrabat-loft-art-galleryf39f.jpg	(from https://www.buildinamsterdam.com/)
04:54:48	61010/61010	---MCZ	200	added ('OK')	text/html	etag:W/%22993294f2ef655cbbdd59721cf9865736%22	https://www.buildinamsterdam.com/case/adidas	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/adidas.html	(from https://www.buildinamsterdam.com/)
04:54:48	193642/193642	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2005:00:38%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F2200x1274%2F009e575658%2Fadidas-prada.jpg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/adidas-prada444b.jpg	(from https://www.buildinamsterdam.com/)
04:54:49	115339/115339	---MCZ	200	added ('OK')	text/html	etag:W/%228a095d8dca6701a33e7e67b807a6952c%22	https://www.buildinamsterdam.com/case/coquille-chair	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/coquille-chair.html	(from https://www.buildinamsterdam.com/)
04:54:50	188309/188309	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202022%2011:20:55%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F3000x2142%2F913f259260%2Fcoquille-chair-solo-powerhouse-company-x-lensvelt.jpg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/coquille-chair-solo-powerhouse-company-x-lensveltfc13.jpg	(from https://www.buildinamsterdam.com/)
04:54:50	97075/97075	---MCZ	200	added ('OK')	text/html	etag:W/%221bdead8f8f2c392b3fac27af397b35be%22	https://www.buildinamsterdam.com/case/powerhouse-company	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/case/powerhouse-company.html	(from https://www.buildinamsterdam.com/)
04:54:50	775410/775410	---M--	200	added ('OK')	image/jpeg	date:Wed,%2007%20Dec%202022%2018:24:13%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F4500x2550%2Fe4d8a9d873%2Fdesktop_cover_powerhouse.jpg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/desktop_cover_powerhouse1542.jpg	(from https://www.buildinamsterdam.com/)
04:54:51	242501/242501	---M--	200	added ('OK')	image/jpeg	date:Wed,%2007%20Dec%202022%2018:24:12%20GMT	https://www.buildinamsterdam.com/_next/image?url=https%3A%2F%2Fa.storyblok.com%2Ff%2F158533%2F1125x2100%2F50a15f2cbf%2Fmobile_cover_powerhouse.jpg&w=3840&q=80	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/_next/mobile_cover_powerhouse11be.jpg	(from https://www.buildinamsterdam.com/)
04:54:51	42924/42924	---M--	200	added ('OK')	font/woff2	etag:%22711f20424db9d7c197f678c71b231dba%22	https://www.buildinamsterdam.com/fonts/RecklessNeue-Book.woff2	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/fonts/RecklessNeue-Book.woff2	(from https://www.buildinamsterdam.com/_next/static/css/b2accd91adc67b1c.css)
04:54:51	53680/53680	---M--	200	added ('OK')	font/woff	etag:%22556ceb854a9acb3e0c0b8ddfc1f054f5%22	https://www.buildinamsterdam.com/fonts/RecklessNeue-Book.woff	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/fonts/RecklessNeue-Book.woff	(from https://www.buildinamsterdam.com/_next/static/css/b2accd91adc67b1c.css)
04:54:51	38768/38768	---M--	200	added ('OK')	font/woff2	etag:%22b86a86a5ba853895e1a8206f826b6d73%22	https://www.buildinamsterdam.com/fonts/RecklessNeue-BookItalic.woff2	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/fonts/RecklessNeue-BookItalic.woff2	(from https://www.buildinamsterdam.com/_next/static/css/b2accd91adc67b1c.css)
04:54:51	49064/49064	---M--	200	added ('OK')	font/woff	etag:%22d8f96406fb8a2a7d8a581a73337e1af9%22	https://www.buildinamsterdam.com/fonts/RecklessNeue-BookItalic.woff	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/fonts/RecklessNeue-BookItalic.woff	(from https://www.buildinamsterdam.com/_next/static/css/b2accd91adc67b1c.css)
04:54:51	19020/19020	---M--	200	added ('OK')	font/woff2	etag:%22cea4eb02066f85cbc1217855ac40e187%22	https://www.buildinamsterdam.com/fonts/NeueHaasGrotesk-Medium.woff2	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/fonts/NeueHaasGrotesk-Medium.woff2	(from https://www.buildinamsterdam.com/_next/static/css/b2accd91adc67b1c.css)
04:54:52	19120/19120	---M--	200	added ('OK')	font/woff	etag:%2297e3d38fbcc95fb3fcb6e714bca910b7%22	https://www.buildinamsterdam.com/fonts/NeueHaasGrotesk-Medium.woff	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/fonts/NeueHaasGrotesk-Medium.woff	(from https://www.buildinamsterdam.com/_next/static/css/b2accd91adc67b1c.css)
04:54:52	18080/18080	---M--	200	added ('OK')	font/woff2	etag:%221312f8b5fc667d90c52febef08127509%22	https://www.buildinamsterdam.com/fonts/NeueHaasGrotesk-Roman.woff2	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/fonts/NeueHaasGrotesk-Roman.woff2	(from https://www.buildinamsterdam.com/_next/static/css/b2accd91adc67b1c.css)
04:54:52	18249/18249	---M--	200	added ('OK')	font/woff	etag:%227e193699ccff90f901a820516045ad17%22	https://www.buildinamsterdam.com/fonts/NeueHaasGrotesk-Roman.woff	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/www.buildinamsterdam.com/fonts/NeueHaasGrotesk-Roman.woff	(from https://www.buildinamsterdam.com/_next/static/css/b2accd91adc67b1c.css)
04:54:53	418086/418086	---M--	200	added ('OK')	image/jpeg	etag:%22a7f94566d80eeb6ce08e4524d1bdef41%22	https://a.storyblok.com/f/158533/1420x752/ac18f86066/about-desktop.jpg	D:/Web/iitk-motorsports/Built%20in%20Amsterdam/a.storyblok.com/f/158533/1420x752/ac18f86066/about-desktop.jpg	(from https://www.buildinamsterdam.com/about)
